track,document_id,overall_baseline,overall_candidate,overall_delta,nid_baseline,nid_candidate,nid_delta,nid_s_baseline,nid_s_candidate,nid_s_delta,teds_baseline,teds_candidate,teds_delta,teds_s_baseline,teds_s_candidate,teds_s_delta,mhs_baseline,mhs_candidate,mhs_delta,mhs_s_baseline,mhs_s_candidate,mhs_s_delta
ocr_true,01030000000004,0.9900425212310457,0.9912717810988587,0.001229259868,0.9872495446265936,0.9884778653729533,0.001228320746,0.9872495446265936,0.9884778653729533,0.001228320746,,,,,,,0.9928354978354978,0.9940656968247642,0.001230198989,1.0,1.0,0.0
ocr_true,01030000000005,0.8656716417910448,0.8656716417910448,0.0,0.8656716417910448,0.8656716417910448,0.0,0.8656716417910448,0.8656716417910448,0.0,,,,,,,,,,,,
ocr_true,01030000000006,0.910891089108911,0.910891089108911,0.0,0.910891089108911,0.910891089108911,0.0,0.910891089108911,0.910891089108911,0.0,,,,,,,,,,,,
ocr_true,01030000000007,0.7612603045294972,0.7615101485627669,0.000249844033,0.9794909809735607,0.9797430830039525,0.00025210203,0.9794909809735607,0.9797430830039525,0.00025210203,,,,,,,0.5430296280854336,0.5432772141215811,0.000247586036,0.8571428571428572,0.8571428571428572,0.0
ocr_true,01030000000008,0.7998442367601245,0.8014505893019038,0.001606352542,0.7998442367601245,0.8014505893019038,0.001606352542,0.7998442367601245,0.8014505893019038,0.001606352542,,,,,,,,,,,,
ocr_true,01030000000009,0.7261039686975964,0.7267652804912085,0.000661311794,0.7261039686975964,0.7267652804912085,0.000661311794,0.7261039686975964,0.7267652804912085,0.000661311794,,,,,,,,,,,,
ocr_true,01030000000010,0.9329090426942456,0.9362939466032248,0.003384903909,0.9329090426942456,0.9362939466032248,0.003384903909,0.9329090426942456,0.9362939466032248,0.003384903909,,,,,,,,,,,,
ocr_true,01030000000011,0.9243353783231085,0.9246736908318919,0.000338312509,0.9243353783231085,0.9246736908318919,0.000338312509,0.9243353783231085,0.9246736908318919,0.000338312509,,,,,,,,,,,,
ocr_true,01030000000012,0.9685886402753873,0.9705819196907881,0.001993279415,0.9685886402753873,0.9705819196907881,0.001993279415,0.9685886402753873,0.9705819196907881,0.001993279415,,,,,,,,,,,,
ocr_true,01030000000013,0.5886012748936802,0.5891584550122857,0.000557180119,0.7453199825859818,0.7463594870680287,0.001039504482,0.7453199825859818,0.7463594870680287,0.001039504482,,,,,,,0.43188256720137863,0.4319574229565426,7.4855755e-05,1.0,1.0,0.0
ocr_true,01030000000014,0.9476145930776425,0.949579831932773,0.001965238855,0.9476145930776425,0.949579831932773,0.001965238855,0.9476145930776425,0.949579831932773,0.001965238855,,,,,,,,,,,,
ocr_true,01030000000015,0.7403494514425032,0.7397482744620382,-0.00060117698,0.7403494514425032,0.7397482744620382,-0.00060117698,0.7403494514425032,0.7397482744620382,-0.00060117698,,,,,,,,,,,,
ocr_true,01030000000016,0.7689080105403782,0.7689080105403782,0.0,0.6932100959829364,0.6932100959829364,0.0,0.03714565004887582,0.03714565004887582,0.0,,,,,,,0.84460592509782,0.84460592509782,0.0,1.0,1.0,0.0
ocr_true,01030000000017,0.9727192725139338,0.9730205278592375,0.000301255345,0.9727192725139338,0.9730205278592375,0.000301255345,0.9727192725139338,0.9730205278592375,0.000301255345,,,,,,,,,,,,
ocr_true,01030000000018,0.8321005675220385,0.8321005675220385,0.0,0.7831149927219796,0.7831149927219796,0.0,0.7831149927219796,0.7831149927219796,0.0,,,,,,,0.8810861423220974,0.8810861423220974,0.0,1.0,1.0,0.0
ocr_true,01030000000019,0.9939560061466608,0.9939560061466608,0.0,0.9983801295896328,0.9983801295896328,0.0,0.9983801295896328,0.9983801295896328,0.0,,,,,,,0.9895318827036889,0.9895318827036889,0.0,1.0,1.0,0.0
ocr_true,01030000000020,0.9958970533383067,0.9962714392244594,0.000374385886,0.9958970533383067,0.9962714392244594,0.000374385886,0.9958970533383067,0.9962714392244594,0.000374385886,,,,,,,,,,,,
ocr_true,01030000000021,0.8725106256419478,0.8725106256419478,0.0,0.9959088252483927,0.9959088252483927,0.0,0.9959088252483927,0.9959088252483927,0.0,,,,,,,0.7491124260355029,0.7491124260355029,0.0,0.75,0.75,0.0
ocr_true,01030000000022,0.9956905397085984,0.9958965941731637,0.000206054465,0.9956905397085984,0.9958965941731637,0.000206054465,0.9956905397085984,0.9958965941731637,0.000206054465,,,,,,,,,,,,
ocr_true,01030000000023,0.998231479662016,0.9984282907662082,0.000196811104,0.998231479662016,0.9984282907662082,0.000196811104,0.998231479662016,0.9984282907662082,0.000196811104,,,,,,,,,,,,
ocr_true,01030000000024,0.9985670419651995,0.9989768774299163,0.000409835465,0.9985670419651995,0.9989768774299163,0.000409835465,0.9985670419651995,0.9989768774299163,0.000409835465,,,,,,,,,,,,
ocr_true,01030000000025,0.9983874683252707,0.9983874683252707,0.0,0.9983874683252707,0.9983874683252707,0.0,0.9983874683252707,0.9983874683252707,0.0,,,,,,,,,,,,
ocr_true,01030000000026,0.9972093023255814,0.9974424552429667,0.000233152917,0.9972093023255814,0.9974424552429667,0.000233152917,0.9972093023255814,0.9974424552429667,0.000233152917,,,,,,,,,,,,
ocr_true,01030000000027,0.5791173304628633,0.5791173304628633,0.0,0.5791173304628633,0.5791173304628633,0.0,0.5791173304628633,0.5791173304628633,0.0,,,,,,,,,,,,
ocr_true,01030000000028,0.6269488763974633,0.6269488763974633,0.0,0.9890981169474727,0.9890981169474727,0.0,0.9890981169474727,0.9890981169474727,0.0,,,,,,,0.2647996358474539,0.2647996358474539,0.0,0.36363636363636365,0.36363636363636365,0.0
ocr_true,01030000000029,0.7094473361910594,0.7094473361910594,0.0,0.9721212121212122,0.9721212121212122,0.0,0.9721212121212122,0.9721212121212122,0.0,,,,,,,0.4467734602609067,0.4467734602609067,0.0,0.5454545454545454,0.5454545454545454,0.0
ocr_true,01030000000030,0.9513963894460731,0.9515581610614008,0.000161771615,0.9513963894460731,0.9515581610614008,0.000161771615,0.9439327839715623,0.944103392568659,0.000170608597,,,,,,,,,,,,
ocr_true,01030000000031,0.585802311778767,0.585802311778767,0.0,0.8881251074067709,0.8881251074067709,0.0,0.5530839231547018,0.5530839231547018,0.0,,,,,,,0.28347951615076317,0.28347951615076317,0.0,0.6666666666666667,0.6666666666666667,0.0
ocr_true,01030000000032,0.9820787988182167,0.9826730875064327,0.000594288688,0.9743456854107282,0.9751424132573796,0.000796727847,0.9743456854107282,0.9751424132573796,0.000796727847,,,,,,,0.9898119122257053,0.9902037617554859,0.00039184953,1.0,1.0,0.0
ocr_true,01030000000033,0.7539652659064436,0.7541457286001231,0.000180462694,0.9313121743249646,0.9315652379824769,0.000253063658,0.6117411607738492,0.6122040680226742,0.000462907249,,,,,,,0.5766183574879227,0.5767262192177692,0.00010786173,0.6,0.6,0.0
ocr_true,01030000000034,0.8792801799550112,0.8801198801198801,0.000839700165,0.8792801799550112,0.8801198801198801,0.000839700165,0.8806978052898145,0.8816418330053416,0.000944027716,,,,,,,,,,,,
ocr_true,01030000000035,0.9291008925936104,0.9291008925936104,0.0,0.9409178345699368,0.9409178345699368,0.0,0.9409178345699368,0.9409178345699368,0.0,,,,,,,0.917283950617284,0.917283950617284,0.0,1.0,1.0,0.0
ocr_true,01030000000036,0.6496785734080659,0.6496785734080659,0.0,0.5230017251293847,0.5230017251293847,0.0,0.019522046449007013,0.019522046449007013,0.0,,,,,,,0.776355421686747,0.776355421686747,0.0,1.0,1.0,0.0
ocr_true,01030000000037,0.5420573476876437,0.5420573476876437,0.0,0.6500233317778814,0.6500233317778814,0.0,0.6500233317778814,0.6500233317778814,0.0,,,,,,,0.43409136359740597,0.43409136359740597,0.0,0.6,0.6,0.0
ocr_true,01030000000038,0.5822686021285737,0.5822686021285737,0.0,0.743452699091395,0.743452699091395,0.0,0.7245657568238212,0.7245657568238212,0.0,,,,,,,0.42108450516575224,0.42108450516575224,0.0,0.75,0.75,0.0
ocr_true,01030000000039,0.7226400178733645,0.7226400178733645,0.0,0.6893106893106892,0.6893106893106892,0.0,0.5391969407265774,0.5391969407265774,0.0,,,,,,,0.7559693464360397,0.7559693464360397,0.0,1.0,1.0,0.0
ocr_true,01030000000040,0.9932486100079428,0.9932486100079428,0.0,0.9932486100079428,0.9932486100079428,0.0,0.9932486100079428,0.9932486100079428,0.0,,,,,,,,,,,,
ocr_true,01030000000041,0.9565390749601277,0.9565390749601277,0.0,0.9565390749601277,0.9565390749601277,0.0,0.9565390749601277,0.9565390749601277,0.0,,,,,,,,,,,,
